sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,confidence,prompt_type,annotator_profile_id,annotator_gender,annotator_age,annotator_race,annotator_education,annotator_description,raw_output,text,comment_id,index,profile_id
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""this is the worst content ever. you're clea",,41924,95,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the analysis is subjective and may vary based on individual perspectives. 
",,8369,15,middle_black_female
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"2 2 2 2 2 2 2 2 2 0.8

note: the comment is empty, so i'll provide a hypothetical example for demonstration purposes.

example comment: ""this is the worst content ever created. it's a waste of time an",,28621,30,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is blank, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""this is the worst content ever created. you",,20061,158,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, so i will provide a general analysis based on the con",,21275,128,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example for analysis purposes.

hypothetical comment: ""i'm so tired of people like you who think they're above the l",,21406,115,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""this is the worst content ever. you're just",,13674,69,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, but the context suggests that the comment might be re",,28486,170,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is blank, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""this is the worst content ever created. you",,32127,174,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is blank, so i'll provide a hypothetical example for analysis purposes. here's a revised comment:

""your article is trash. you're just a mouthpiece for the wea",,20018,45,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a general analysis based on the context of the comment being empty.

based on the context, i would rate the comment as neutral, as ",,16493,66,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

please note that the comment is empty, so i will provide a hypothetical analysis for demonstration purposes.

in this hypothetical scenario, the comment is empty, so i would rat",,38354,182,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""you're a terrible person for spreading misi",,20054,165,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""this is the worst content ever created. you",,31779,78,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is blank, so i will provide a hypothetical example for analysis purposes. here's a revised comment: ""i'm so tired of people like you always spreading hate and ",,2317,186,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, but i will provide a hypothetical example of a commen",,48434,177,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so the analysis will be based on the context provided. 

please note that the comment is empty, so the analysis will be based on the context provided",,43793,56,middle_black_female
3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.8,annotator_role,middle_black_female,female,45 years old,Black/African American,Graduate degree,Middle-aged Black female with graduate degree,"3 2 1 1 2 1 1 1 3 0.8

note: the comment is empty, so i will provide a hypothetical example of a comment that might elicit these ratings.

example comment: ""this is the most ridiculous thing i've ever",,28929,152,middle_black_female
